SID,Difficulty,Technique,Time,PerceivedPerformance
s01,easy,Technique A,0.243631894267139,1
s01,easy,Technique B,1.54611683433554,5
s01,hard,Technique A,0.352789547714795,5
s01,hard,Technique B,2.13359237571177,5
s02,easy,Technique A,0.456920181547833,3
s02,easy,Technique B,0.767674983799454,3
s02,hard,Technique A,0.811842582871431,3
s02,hard,Technique B,4.88197246006028,5
s03,easy,Technique A,0.374767502492041,3
s03,easy,Technique B,0.922497302474484,5
s03,hard,Technique A,1.3674400258891,5
s03,hard,Technique B,2.78173222789747,5
s04,easy,Technique A,0.304014915495353,1
s04,easy,Technique B,0.695269306928687,5
s04,hard,Technique A,1.34591119770145,5
s04,hard,Technique B,1.79535132545234,5
s05,easy,Technique A,0.648798744874655,1
s05,easy,Technique B,1.44873247710877,5
s05,hard,Technique A,3.15816272717943,1
s05,hard,Technique B,2.65937704999906,5
s06,easy,Technique A,0.707075176070836,1
s06,easy,Technique B,5.37917420387241,5
s06,hard,Technique A,1.03724169245741,3
s06,hard,Technique B,8.94363405585322,5
s07,easy,Technique A,0.27060789579995,1
s07,easy,Technique B,1.78292274360827,3
s07,hard,Technique A,0.719587626388098,1
s07,hard,Technique B,3.98149232071757,5
s08,easy,Technique A,0.320200782877131,1
s08,easy,Technique B,0.663249907422377,5
s08,hard,Technique A,0.616310548106689,3
s08,hard,Technique B,1.89857691472965,5
s09,easy,Technique A,0.138987231272816,2
s09,easy,Technique B,1.75689034544628,5
s09,hard,Technique A,0.366334758946323,5
s09,hard,Technique B,1.76139493610115,5
s10,easy,Technique A,0.146528049336045,5
s10,easy,Technique B,1.0881416042507,5
s10,hard,Technique A,0.410984867660673,5
s10,hard,Technique B,3.52687963825095,5
s11,easy,Technique A,0.215977032477034,1
s11,easy,Technique B,1.03873200918661,3
s11,hard,Technique A,0.719840621633231,5
s11,hard,Technique B,2.49190545769802,5
s12,easy,Technique A,0.518564572239195,1
s12,easy,Technique B,2.01446764406708,1
s12,hard,Technique A,1.11945575858204,2
s12,hard,Technique B,2.95233540104436,5
s13,easy,Technique A,0.589712675620823,1
s13,easy,Technique B,2.54238208618506,3
s13,hard,Technique A,1.58804579915222,1
s13,hard,Technique B,1.10533857678879,3
s14,easy,Technique A,0.180870131303058,1
s14,easy,Technique B,0.534252685516187,5
s14,hard,Technique A,0.214517514796741,1
s14,hard,Technique B,1.78664613436711,5
s15,easy,Technique A,0.247875170980963,1
s15,easy,Technique B,2.09368406210082,5
s15,hard,Technique A,0.80914205309061,5
s15,hard,Technique B,2.25964077728894,5
s16,easy,Technique A,0.313339584085269,2
s16,easy,Technique B,1.80514864076763,5
s16,hard,Technique A,0.570217740765305,3
s16,hard,Technique B,1.5714616252501,5
s17,easy,Technique A,0.262054131158634,1
s17,easy,Technique B,1.47899727609589,5
s17,hard,Technique A,2.96906952393452,5
s17,hard,Technique B,7.30403291261634,5
s18,easy,Technique A,0.305884194212095,1
s18,easy,Technique B,0.501148782208278,3
s18,hard,Technique A,0.284792064617247,5
s18,hard,Technique B,1.4906072380964,5
s19,easy,Technique A,0.620085908730843,1
s19,easy,Technique B,1.73063610950788,5
s19,hard,Technique A,1.33495268190084,3
s19,hard,Technique B,16.482417460549,5
s20,easy,Technique A,0.607122922652084,1
s20,easy,Technique B,1.28716130033958,5
s20,hard,Technique A,1.65433157955843,5
s20,hard,Technique B,1.24082471588525,5
s21,easy,Technique A,0.904921851265249,1
s21,easy,Technique B,1.40062445978392,5
s21,hard,Technique A,1.06840272679878,5
s21,hard,Technique B,5.84516146475086,5
s22,easy,Technique A,0.170967658931455,1
s22,easy,Technique B,0.520256641582151,4
s22,hard,Technique A,0.471607593266995,5
s22,hard,Technique B,2.17866111282974,5
s23,easy,Technique A,0.243401816670342,1
s23,easy,Technique B,0.711556651489855,5
s23,hard,Technique A,0.873754737634777,1
s23,hard,Technique B,2.12879363613191,5
s24,easy,Technique A,0.235491419097027,1
s24,easy,Technique B,2.24213378580403,2
s24,hard,Technique A,0.832174118726848,1
s24,hard,Technique B,7.84666312583641,5
